MonoMass	MinElutionTime	MaxElutionTime	CV50_H3_C1_Abundance	CV50_H3_C2_Abundance	CV50_H3_C3_Abundance	CV50_H3_C4_Abundance	CV50_H3_C5_Abundance	CV50_H4_A1_Abundance	CV50_H4_A2_Abundance	CV50_H4_A3_Abundance	CV50_H4_A4_Abundance	CV50_H3_C1_Ms1Score	CV50_H3_C2_Ms1Score	CV50_H3_C3_Ms1Score	CV50_H3_C4_Ms1Score	CV50_H3_C5_Ms1Score	CV50_H4_A1_Ms1Score	CV50_H4_A2_Ms1Score	CV50_H4_A3_Ms1Score	CV50_H4_A4_Ms1Score	CV50_H3_C1_FeatureId	CV50_H3_C2_FeatureId	CV50_H3_C3_FeatureId	CV50_H3_C4_FeatureId	CV50_H3_C5_FeatureId	CV50_H4_A1_FeatureId	CV50_H4_A2_FeatureId	CV50_H4_A3_FeatureId	CV50_H4_A4_FeatureId
5213.8426	61.017	62.458	325504.5	142189.2	109122.6	135042.6	121552.7	25673.28	250392.1	145781.7	156248.1	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	9.2163	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	0	1338	0	0	0	0
5214.64531	66.176	67.763	21700.02	14926.24	65427.14	64812.23	62710.2	16089.05	111602.6	94562.43	99792.48	9.8927	-1217.856	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1400	0	0	0	0	0	0	0	0
5216.4644	10.799	11.965	18056.56	11553.12	6865.87	15500.52	19351.46	6074.231	3320.005	5843.211	16067.05	-3.402823E+38	-3.402823E+38	30.0955	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1855.898	-4.238601	-3.402823E+38	0	0	1299	0	0	0	0	0	0
5222.314	76.77	77.909	347344.9	121209.7	63369.67	125618.5	91124.13	24208.31	72097.86	54327.53	79037.24	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	58.9021	52.5892	-3.402823E+38	0	0	0	0	0	0	1465	1311	0
5229.6617	69.899	71.302	12938.01	54664.14	21012.29	42762.55	43754.94	106999.5	36225.82	77278.92	48672.61	7.9798	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1401	0	0	0	0	0	0	0	0
5232.6613	42.545	43.847	104568.1	360944.8	474702.5	203082.6	462896.4	92934.23	307070.4	510284.9	738222.6	-1244.19	-3.402823E+38	-3.402823E+38	11.814	31.832	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	1466	1339	0	0	0	0
5233.6651	42.591	43.847	183747.5	360944.8	474702.5	277873.9	570049.9	92934.23	307070.4	510284.9	68955.36	32.09649	-3.402823E+38	-3.402823E+38	36.2589	54.093	-3.402823E+38	-3.402823E+38	-3.402823E+38	-10.36536	0	0	0	1467	1340	0	0	0	0
5235.6322	69.941	71.162	106742.9	78948.54	24334.94	46849.38	25091.82	11706.09	26638.48	60609.75	36056.4	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-7.1085	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1230.902	0	0	0	0	1341	0	0	0	0
5236.8863	71.733	72.994	152593.6	47656.1	64400.26	44260.05	21854.54	9415.806	37940.73	30651.67	33994.58	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	28.2601	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	0	1342	0	0	0	0
5237.8916	71.733	72.994	152593.6	47656.1	64400.26	44260.05	21240.11	9415.806	37940.73	30651.67	33994.58	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	9.0404	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	0	1343	0	0	0	0
5239.1718	19.818	21.125	56428.66	40951.65	48161.24	50005.22	55981.17	11234.01	39451.69	61494.69	23778.88	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	15.1772	25.9616	-1241.787	0	0	0	0	0	0	1466	1312	0
5240.1739	19.494	21.416	87968.48	54902.37	61409.75	62885.32	70869.73	13916.54	57454.7	75577.23	30516.6	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	47.3485	48.1299	32.2034	0	0	0	0	0	0	1467	1313	1277
5241.1827	19.818	21.081	42372.13	38416.83	45925.1	46652.97	52483.78	10514.88	19330.51	32763.22	9428.779	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-4.8207	8.542766	-18.04826	0	0	0	0	0	0	1468	0	0
5246.09511	78.961	79.819	8658.02	8294.959	2430.272	30544.16	25020.04	61084.86	55882.7	52256	39674.44	-7.7324	-1223.985	-1229.731	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	1402	0	0	0	0	0	0	0	0
5246.32691	18.984	20.304	22504.21	47021.95	7404.688	10228.78	52576.48	11077.83	22188.09	13968.38	17909.01	-1217.534	-3.402823E+38	-611.6612	7.3386	-3.402823E+38	-3.402823E+38	-598.6141	9.706239	-1204.004	0	0	0	1468	0	0	0	0	0
5247.33556	19.039	19.833	15738.57	23269.63	25160.85	19541.44	8320.586	1913.333	28382.23	13064.95	30899.13	-1857.219	42.7168	41.92914	13.55698	16.19574	-1238.677	55.7461	4.722444	-1202.598	0	1396	0	0	0	0	1469	0	0
5248.33532	19.101	19.93	38241.91	14395.01	5842.688	31632.34	38990.49	2017.06	22003.9	126831.3	13692.07	-3.402823E+38	11.76563	-1251.221	-3.402823E+38	-3.402823E+38	-2.421	9.597655	-3.402823E+38	-1222.039	0	0	0	0	0	967	0	0	0
5248.6447	42.196	43.338	444309	307081.9	336276.9	215889.5	478056.5	79080.94	256552.2	426267.2	111346	-3.402823E+38	-3.402823E+38	-3.402823E+38	34.15644	20.1734	-3.402823E+38	-3.402823E+38	-3.402823E+38	-13.90219	0	0	0	0	1344	0	0	0	0
5249.6456	42.196	43.338	444309	307081.9	336276.9	261698.2	541731.3	79080.94	256552.2	426267.2	205035.6	-3.402823E+38	-3.402823E+38	-3.402823E+38	38.75318	60.7732	-3.402823E+38	-3.402823E+38	-3.402823E+38	41.77267	0	0	0	0	1345	0	0	0	0
5250.65195	42.196	43.459	467412.3	372927.9	398531.4	171460.1	267808.7	85062.45	281382.4	455683.1	210594.7	-3.402823E+38	-3.402823E+38	-3.402823E+38	11.2864	27.4868	-3.402823E+38	-3.402823E+38	-3.402823E+38	1.9543	0	0	0	1469	1346	0	0	0	0
5254.81795	10.37	11.44	13685.78	10497.7	2029.214	11184.5	8513.23	6588.708	3486.002	5571.604	2146.425	36.9574	11.1375	-1215.58	-3.402823E+38	12.1961	-3.402823E+38	-15.70654	-1219.777	-10.65178	1403	1397	0	0	1347	0	0	0	0
5255.5255	35.855	36.985	50442.87	47439.2	56091.2	76898.03	99930.44	19885.64	10066.6	139034.6	17621.01	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	10.04008	56.5074	-673.5854	0	0	0	0	0	0	0	1314	0
5255.8216	10.488	11.418	13269.95	14939.3	2094.9	6587.95	14032.42	5878.843	5852.9	5078.841	1984.718	6.7813	33.6468	-1217.425	21.1587	32.3351	-3.402823E+38	32.8154	-1228.916	-1238.629	1404	1398	0	1470	1348	0	1470	0	0
5256.5289	35.711	37.151	57360.22	54466.04	62677.99	86526.65	107467.4	21437.58	76398.44	115897.4	114566.2	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	38.1739	-3.402823E+38	0	0	0	0	0	0	0	1315	0
5257.76394	75.477	76.869	3081.85	24192.75	59726.25	66131.56	57790.36	30696.48	25532.53	11233.02	83057.95	-1857.292	41.3194	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	26.61013	-3.402823E+38	0	1399	0	0	0	0	0	0	0
5258.7626	75.468	76.869	79058.44	17397.18	59726.25	66131.56	57790.36	30696.48	25532.53	32939.58	58106.86	-3.402823E+38	9.7787	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	1400	0	0	0	0	0	0	0
5260.3757	18.307	20.216	104201.9	58919.61	57156.57	68526.59	81788.86	7577.74	24644	26632.76	167812.8	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	18.9932	-1223.01	-3.4624	-3.402823E+38	0	0	0	0	0	968	0	1316	0
5261.10151	0.057	3.665	23545.16	22898.71	23719.31	25408.33	60439.66	29394.17	748.1709	217.9393	24507.66	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1225.19	17.9903	-1228.038	-1848.114	-1849.221	-3.402823E+38	0	0	0	0	1349	0	0	0	0
5261.3829	18.307	20.152	109403.8	58919.61	57156.57	11128.81	81788.86	12841.18	30061.54	56892.29	16368.01	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1856.869	-3.402823E+38	43.9181	15.1042	29.6906	13.54366	0	0	0	0	0	969	1471	1317	0
5262.104	0.006	6.096	39091.04	37934.5	38369.42	24461.8	57465.98	55543.34	3113.643	871.8813	38803.41	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1226.445	15.7888	7.7358	-1844.948	-1850.187	-3.402823E+38	0	0	0	0	1350	970	0	0	0
5262.7571	73.061	77.111	47741.21	247551.4	121490.1	170297.1	129744.1	72592.56	80708.4	67555.97	26059.77	15.6064	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	30.0608	-3.402823E+38	-3.402823E+38	-5.4241	1405	0	0	0	0	971	0	0	1278
5263.67515	65.957	68.048	250837.2	31241.85	89812.24	97408.18	86993.01	21501.6	61219.62	122554.2	131464.7	-3.402823E+38	29.2531	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	11.4847	-3.402823E+38	-3.402823E+38	0	1401	0	0	0	0	1472	0	0
5263.7565	73.12	76.957	87743.05	7839.869	112289.4	151906.5	118645.5	128225.9	77716.8	8633.84	33116.19	33.2661	-1861.638	-3.402823E+38	-3.402823E+38	-3.402823E+38	69.1607	-3.402823E+38	9.8068	56.6034	1406	0	0	0	0	972	0	1318	1279
5264.76704	71.639	73.857	1.257471E+06	1.533618E+06	79437.14	53495.53	5656.144	234247.3	89876.59	88973.3	194960	26.5061	37.1877	37.5371	-1226.61	-1856.542	37.5687	-3.402823E+38	10.1593	27.9333	1407	1402	1300	0	0	973	0	1319	1280
5265.7637	71.639	73.234	1.585752E+06	1.542194E+06	78211.98	61437.61	67282.38	182690.9	45945.37	94978.75	145965.1	64.7059	65.6612	29.3533	11.8329	-3.402823E+38	36.7926	27.9001	57.8141	-1209.364	1408	1403	1301	1471	0	974	1473	1320	0
5266.77242	71.447	72.735	989866.5	1.362208E+06	68127.7	46674.23	34667	9129.487	47572.06	45269.35	150326.5	11.75873	13.1699	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-617.3048	0	1404	0	0	0	0	0	0	0
5271.48543	17.884	19.341	37411.2	8202.012	20562.59	26852.8	19838.14	23215.57	72361.48	127524	158946.7	25.51741	0.3991223	32.9271	24.026	23.47152	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	1302	1472	0	0	0	0	0
5277.6431	43.083	44.573	382213.4	414744.8	568823.1	844988.1	198858.1	127497.9	404156.8	832248	1.047801E+06	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	30.1172	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	0	1351	0	0	0	0
5287.5111	11.033	12.348	22016.92	13388	12849.51	19490.63	22502.54	6882.99	17689.62	10189.17	21556.37	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	24.7102	-3.402823E+38	0	0	0	0	0	0	0	1321	0
